surname,pinyin,plain_pinyin,baijiaxing_index,aliases
辛,xīn,xin,379,
阚,kàn,kan,380,
那,nā,na,381,
简,jiǎn,jian,382,
饶,ráo,rao,383,
空,kōng,kong,384,
曾,zēng,zeng,385,"tsang,chan"
母,mǔ,mu,386,
沙,shā,sha,387,
乜,niè,nie,388,
养,yǎng,yang,389,
鞠,jū,ju,390,
须,xū,xu,391,
丰,fēng,feng,392,
巢,cháo,chao,393,
关,guān,guan,394,
蒯,kuǎi,kuai,395,
相,xiàng,xiang,396,
查,zhā,zha,397,
后,hòu,hou,398,
荆,jīng,jing,399,
红,hóng,hong,400,
游,yóu,you,401,
竺,zhú,zhu,402,
权,quán,quan,403,
逯,lù,lu,404,
盖,gài,gai,405,
益,yì,yi,406,
桓,huán,huan,407,
公,gōng,gong,408,
万俟,mò qí,moqi,409,
司马,sī mǎ,sima,410,
上官,shàng guān,shangguan,411,
欧阳,ōu yáng,ouyang,412,
夏侯,xià hóu,xiahou,413,
诸葛,zhū gě,zhuge,414,
闻人,wén rén,wenren,415,
东方,dōng fāng,dongfang,416,
赫连,hè lián,helian,417,
皇甫,huáng pǔ,huangpu,418,
尉迟,yù chí,yuchi,419,
公羊,gōng yáng,gongyang,420,
澹台,tán tái,tantai,421,
公冶,gōng yě,gongye,422,
宗政,zōng zhèng,zongzheng,423,
濮阳,pú yáng,puyang,424,
淳于,chún yú,chunyu,425,
单于,chán yú,chanyu,426,
太叔,tài shū,taishu,427,
申屠,shēn tú,shentu,428,
公孙,gōng sūn,gongsun,429,
仲孙,zhòng sūn,zhongsun,430,
轩辕,xuān yuán,xuanyuan,431,
令狐,lìng hú,linghu,432,
钟离,zhōng lí,zhongli,433,
宇文,yǔ wén,yuwen,434,
长孙,zhǎng sūn,zhangsun,435,
慕容,mù róng,murong,436,
鲜于,xiān yú,xianyu,437,
闾丘,lǘ qiū,lvqiu,438,
司徒,sī tú,situ,439,
司空,sī kōng,sikong,440,
亓官,qí guān,qiguan,441,
司寇,sī kòu,sikou,442,
仉督,zhǎng dū,zhangdu,443,
子车,zǐ jū,ziju,444,
颛孙,zhuān sūn,zhuansun,445,
端木,duān mù,duanmu,446,
巫马,wū mǎ,wuma,447,
公西,gōng xī,gongxi,448,
漆雕,qī diāo,qidiao,449,
乐正,yuè zhèng,yuezheng,450,
壤驷,rǎng sì,rangsi,451,
公良,gōng liáng,gongliang,452,
拓跋,tuò bá,tuoba,453,
夹谷,jiá gǔ,jiagu,454,
宰父,zǎi fǔ,zaifu,455,
榖梁,gǔ liáng,guliang,456,
晋,jìn,jin,457,
楚,chǔ,chu,458,
闫,yán,yan,459,
法,fǎ,fa,460,
汝,rǔ,ru,461,
鄢,yān,yan,462,
涂,tú,tu,463,
钦,qīn,qin,464,
段干,duàn gān,duangan,465,
百里,bǎi lǐ,baili,466,
东郭,dōng guō,dongguo,467,
南门,nán mén,nanmen,468,
呼延,hū yán,huyan,469,
归,guī,gui,470,
海,hǎi,hai,471,
羊舌,yáng shé,yangshe,472,
微,wēi,wei,473,
生,shēng,sheng,474,
岳,yuè,yue,475,
帅,shuài,shuai,476,
缑,gōu,gou,477,
亢,kàng,kang,478,
况,kuàng,kuang,479,
后,hòu,hou,480,
有,yǒu,you,481,
琴,qín,qin,482,
梁丘,liáng qiū,liangqiu,483,
左丘,zuǒ qiū,zuoqiu,484,
东门,dōng mén,dongmen,485,
西门,xī mén,ximen,486,
商,shāng,shang,487,
牟,móu,mou,488,
佘,shé,she,489,
佴,nài,nai,490,
伯,bó,bo,491,
赏,shǎng,shang,492,
南宫,nán gōng,nangong,493,
墨,mò,mo,494,
哈,hǎ,ha,495,
谯,qiáo,qiao,496,
笪,dá,da,497,
年,nián,nian,498,
爱,ài,ai,499,
阳,yáng,yang,500,
佟,tóng,tong,501,
第五,dì wǔ,diwu,502,
言,yán,yan,503,
福,fú,fu,504,
